	Anchor 1	Anchor 2	Alternative 1.1	Alternative 1.2	Correct Alternative	ID	# Votes out of 5 for Correct Alternative	style type
0	Weelkes was to find himself in trouble with the Chichester Cathedral authorities for his drinking and immoderate behaviour.	Weelkes was later to find himself in trouble with the Chichester Cathedral authorities for his heavy drinking and immoderate behaviour.	United Nations career Lie led the Norwegian delegation to the United Nations conference in San Francisco in 1946 and was a leader in drafting the provisions of the United Nations Security Council.	United Nations career Lie brought the Norwegian delegation to the 1946 UN conference in San Francisco and led the writing of the provisions of the United Nations Security Council.	2	QQ_s-t7-59-c-59_c-1760-s-t7-1760--1	4	simplicity
1	If there are no strong land use controls, buildings are built along a bypass, converting it into an ordinary town road, and the bypass may eventually become as congested as the local streets it was intended to avoid.	If there are no strict land use controls, buildings are built along a side roads, making it into an ordinary town road, and the bypass may eventually become as crowded as the local streets it was supposed to avoid.	Ender's Shadow (1999) is a science fiction novel by American author Orson Scott Card.	Ender's Shadow (1999) is a science fiction book by American author Orson Scott Card.	1	QQ_c-85-s-t5-85_c-1103-s-t5-1103--0	4	simplicity
2	Oregano is a not replaceable part in Greek cuisine.	Oregano is an indispensable ingredient in Greek cuisine.	This book by itself is out of print having been published along with nine short stories in the collection The Worthing Saga (1990).	This book alone is no longer available having been published together with nine short stories in the collection The Worthing Saga (1990).	2	QQ_s-t5-92-c-92_c-423-s-t5-423--1	3	simplicity
3	Mifepristone is a synthetic steroid compound used as a pharmaceutical.	Mifepristone is a synthetic steroid compound which is used as a medicine.	The video was released on 7/14/06.	The video was premiered on MTV2 on July 14, 2006.	2	QQ_c-99-s-t7-99_s-t7-1560-c-1560--1	4	simplicity
4	According to  research, there are fewer chances of kids reporting a crime, if someone  dear to him or her is involved in it.	Furthermore, research has shown children are less likely to report a crime if it involves someone that he or she knows, trusts, and / or cares about.	In 2005 Ewen joined the R & B group Trinity Stone which achieved limited success in the UK, Ireland, and Russia.	In 2005 Ewen joined the R & B group Trinity Stone which reached limited success in the UK, Ireland, and Russia.	2	QQ_s-t1-101-c-101_c-1128-s-t1-1128--1	4	simplicity
5	In 1990, Mark Messier took the Hart over Ray Bourque by a margin of two votes, the difference being a single first-place vote.	In 1990 Mark Messier took Hart over Ray Bourque by two votes, the difference being a first-place vote.	Cameron Bright as Jimmy / Leech: A mutant boy whose power neutralizes the powers of nearby mutants.	Cameron Bright plays a mutant boy who can get rid of the power of other mutants.	1	QQ_c-117-s-t5-117_c-2074-s-t5-2074--0	3	simplicity
6	There was a suppression of protests across the nation.	Protests across the nation were suppressed.	This resulted in a vest with vertical stripes of white and navy-blue color.	This resulted in a vest with up and down stripes of white and navy-blue color.	2	QQ_s-t1-210-c-210_c-2205-s-t1-2205--1	4	simplicity
7	The Montreal Canadiens  are a professional ice hockey team based in Montreal, Quebec, Canada.	The Montreal Canadiens are a skilled ice hockey team from Montreal, Quebec, Canada.	About 1,100 mud volcanoes have been identified on land and in shallow water.	Approximately 1,100 mud volcanoes have been identified on land and in shallow water.	2	QQ_c-228-s-t0-228_s-t0-2147-c-2147--1	5	simplicity
8	Small value inductors can also be built on integrated circuits using the same processes that are used to make transistors.	Small value inductors can also be built on integrated circuits with the same processes used to make transistors.	International English Language Testing System, is an international standardised test of English language proficiency.	The standard test for English language proficiency is the International English Language Testing System.	1	QQ_c-229-s-t5-229_c-786-s-t5-786--0	4	simplicity
9	Events Europe July 29 — Battle of Stiklestad (Norway): Olav Haraldsson loses to his pagan vassals and is killed in the battle.	1. Events Europe July 29: In the Battle of Stiklestad (Norway),Olav Haraldsson was killed on his loss with his pagan vassals	It started as an unimportant race in 1996, but because of the fast growing popularity of cycling in Germany, it was made a part of the UCI Road World Cup in 1998.	It was an an unimportant race in 1996, but because of the fast growing popularity of cycling in Germany, it was made a part of the UCI Road World Cup in 1998	1	QQ_c-260-s-t2-260_c-567-s-t2-567--0	3	simplicity
