original_sentence1,paraphrase1,original_sentence2,paraphrase2,label
"Amrozi accused his brother , whom he called "" the witness "" , of deliberately distorting his evidence .","Amrozi made a claim against his sibling, whom he referred to as ""the testimony provider,"" for intentionally manipulating their testimony.","Referring to him as only "" the witness "" , Amrozi accused his brother of deliberately distorting his evidence .","In the given paragraph, Amrozi made an accusation against his brother, stating that he intentionally manipulated his testimony.",1
Yucaipa owned Dominick 's before selling the chain to Safeway in 1998 for $ 2.5 billion .,"Prior to the sale of the Dominick's chain to Safeway in 1998 for $ 2.5 billion, Yucaipa had previously owned the business.",Yucaipa bought Dominick 's in 1995 for $ 693 million and sold it to Safeway for $ 1.8 billion in 1998 .,"In 1995, Yucaipa acquired Dominick's for a total of $693 million, and later sold it to Safeway for $1.8 billion in 1998.",0
"They had published an advertisement on the Internet on June 10 , offering the cargo for sale , he added .","On June 10th, they posted an advertisement on the internet for the cargo, he mentioned.

The advertisement was posted on the internet on June 10th, according to him, and it offered the cargo for sale.

He stated that they had advertised the cargo for sale on the internet on June 10th.

On June 10th, they published an advertisement on the internet, he said, which offered the cargo for sale.

They had placed an advertisement on the internet on June 10th, he revealed, and it was for the sale of the cargo.

He disclosed that they had posted an advertisement on the internet on June 10th, which offered the cargo for sale.

He stated that they had advertised the cargo for sale on the internet on June 10th, as per their advertisement on the internet.","On June 10 , the ship 's owners had published an advertisement on the Internet , offering the explosives for sale .","On June 10th, the proprietors of the vessel publicly announced on the internet that they were selling their explosives.",1
"Around 0335 GMT , Tab shares were up 19 cents , or 4.4 % , at A $ 4.56 , having earlier set a record high of A $ 4.57 .","At approximately 0335 GMT, Tab Inc.'s stock price increased by 19 cents, or 4.4%, to a new record high of A$ 4.57.","Tab shares jumped 20 cents , or 4.6 % , to set a record closing high at A $ 4.57 .","The price of Tab shares increased by 20 cents, or 4.6%, to achieve a new record high closing value of A $ 4.57.",0
"The stock rose $ 2.11 , or about 11 percent , to close Friday at $ 21.51 on the New York Stock Exchange .","The stock's value increased by 11% and reached $21.51 on the New York Stock Exchange on Friday, closing at $21.51.",PG & E Corp. shares jumped $ 1.63 or 8 percent to $ 21.03 on the New York Stock Exchange on Friday .,"On Friday, the stock price of PG & E Corp. increased by $1.63 or 8% to $21.03 on the New York Stock Exchange.",1
Revenue in the first quarter of the year dropped 15 percent from the same period a year earlier .,"In the initial three months of the current year, there was a 15% decrease in earnings as compared to the corresponding quarter of the previous year.","With the scandal hanging over Stewart 's company , revenue the first quarter of the year dropped 15 percent from the same period a year earlier .",I would be happy to provide you with more information about the scandal that is currently affecting Stewart 's company. Can you please provide me with more details about the nature of the controversy?,1
"The Nasdaq had a weekly gain of 17.27 , or 1.2 percent , closing at 1,520.15 on Friday .","The Nasdaq experienced a weekly increase of 17.27%, amounting to 1.2%, and ended at a value of 1,520.15 on Friday.","The tech-laced Nasdaq Composite .IXIC rallied 30.46 points , or 2.04 percent , to 1,520.15 .","The Nasdaq Composite, which is technology-driven, experienced a 2.04 percent increase in value, totaling 30.46 points and reaching a new high of 1,520.15.",0
The DVD-CCA then appealed to the state Supreme Court .,"The DVD-CCA, which stands for the Digital Video Disc Creative Coalition, filed a lawsuit against the state Supreme Court.",The DVD CCA appealed that decision to the U.S. Supreme Court .,The DVD Content Control Association (CCA) filed a petition to the Supreme Court of the United States in opposition to the decision made by the lower court.,1
"That compared with $ 35.18 million , or 24 cents per share , in the year-ago period .","In comparison to the $35.18 million earned in the previous fiscal year, which translates to 24 cents per share, the current financial performance is lower.",Earnings were affected by a non-recurring $ 8 million tax benefit in the year-ago period .,The tax benefit in the previous year had a positive impact on the company's earnings.,0
"Shares of Genentech , a much larger company with several products on the market , rose more than 2 percent .","The stock price of Genentech, a multinational corporation with multiple marketed products, experienced a significant increase of more than 2%.

Another possible paraphrase could be: Genentech, a multinational corporation with a diverse portfolio of products, saw its stock price rise by more than 2%.","Shares of Xoma fell 16 percent in early trade , while shares of Genentech , a much larger company with several products on the market , were up 2 percent .","In the initial trading session, Xoma's share price dropped by 16%, whereas Genentech, a larger enterprise with multiple marketed products, experienced a 2% increase in their share value.",0
